country_brewery,Ale,Amber Ale,Bock,Brown/Dark Ale,Cocktails,Dark Lager,Herbs/Vegetables,Hybrid Beer,IPA,Pale Ale,Pilsner & Pale Lager,Porter,Stout,Strong Ale,Strong Brown/Dark Ale,Strong Pale Ale,Wheat Beer,Wild/Sour Beer
Argentina,,,,,,93.0,,,,108.0,469.0,,154.0,,,,,
Australia,,,,,,,,,2297.0,5276.0,4377.0,,1742.0,,,,,
Austria,,,2844.0,,,1690.0,,,,,3535.0,,,,,,953.0,
Belarus,,,,,,,69.0,,,,255.0,63.0,,,,,58.0,
Belgium,,,,,,,,,,,,,,38078.0,27958.0,29629.0,,54232.0
Brazil,,,,,,944.0,,,476.0,,1129.0,,,,,,402.0,
Bulgaria,,,,,,35.0,,,,28.0,360.0,,,,,,25.0,
Canada,,,,,,,12332.0,,16935.0,17856.0,,,12797.0,,,,,
Chile,,69.0,,,,,,,,180.0,202.0,,80.0,,,,,
China,,,,,,88.0,,,94.0,95.0,2000.0,,,,,,,
Colombia,,,,,,23.0,,20.0,,21.0,299.0,,,,,,,
Costa Rica,,,,,,41.0,27.0,,,25.0,339.0,,,,,,,
Croatia,,,,,,252.0,,,,203.0,913.0,153.0,,,,,,
Czech Republic,,,,,,4843.0,947.0,,1501.0,,11343.0,,,,,,,
Denmark,,,,,,,,,9722.0,5485.0,6995.0,,10622.0,,,,,
Ecuador,,7.0,,,,10.0,,,,,73.0,,17.0,,,,,
Estonia,,,,,,,,,1085.0,,1146.0,1047.0,589.0,,,,,
Finland,,,,,,1621.0,1859.0,,,1460.0,1635.0,,,,,,,
France,,,,,,,1686.0,5199.0,,,2795.0,,,,,,1590.0,
Georgia,,,,,5.0,40.0,,,,,134.0,8.0,,,,,,
Germany,,,16559.0,,,30922.0,,,,,45449.0,,,,,,38283.0,
Greece,,,,,,157.0,,,228.0,187.0,1315.0,,,,,,,
Hong Kong,,,,28.0,,,,,49.0,55.0,116.0,,,,,,,
Hungary,,,,,,294.0,300.0,,401.0,,885.0,,,,,,,
India,,,,,314.0,,,,,,1224.0,,17.0,,,,21.0,
Ireland,1343.0,1400.0,,,,,,,,,1680.0,,8262.0,,,,,
Israel,,,,,,168.0,,,229.0,279.0,,,165.0,,,,,
Italy,,,,,,,,,3109.0,3829.0,4374.0,,,,,,,2316.0
Japan,,,,,,,,,,1296.0,4674.0,,1382.0,,,,1340.0,
Kazakhstan,,,,,3.0,15.0,,,,,96.0,,,,,,6.0,
Latvia,,,,,,250.0,203.0,,,,675.0,417.0,,,,,,
Lithuania,281.0,,,,,300.0,,,,,1559.0,,,,,,284.0,
Mexico,,,,,,2696.0,353.0,,,483.0,6634.0,,,,,,,
Netherlands,,,,,,,,,4961.0,,8142.0,,5820.0,,4588.0,,,
New Zealand,,,,,,,,,2189.0,1851.0,1499.0,,1288.0,,,,,
Norway,,,,,,,3062.0,,4319.0,3605.0,,,6452.0,,,,,
Peru,,,,,,79.0,,,31.0,29.0,398.0,,,,,,,
Philippines,,,,,57.0,153.0,,,17.0,,531.0,,,,,,,
Poland,,,,,,,,,5662.0,,6348.0,2943.0,2960.0,,,,,
Portugal,,,,,,306.0,,,172.0,,742.0,,138.0,,,,,
Romania,,,,,,129.0,,,88.0,77.0,771.0,,,,,,,
Russia,,,,,,573.0,,,356.0,,2730.0,633.0,,,,,,
Serbia,,,,,,55.0,,,132.0,105.0,394.0,,,,,,,
Singapore,,,,,,,,,64.0,111.0,663.0,,120.0,,,,,
Slovak Republic,,,,,,503.0,,,484.0,278.0,1116.0,,,,,,,
Slovenia,,,,,,177.0,,,288.0,188.0,700.0,,,,,,,
South Africa,,,,,,,,,148.0,284.0,469.0,,135.0,,,,,
South Korea,,,,,,67.0,,,,34.0,594.0,,28.0,,,,,
Spain,,,,,,,,,2537.0,2307.0,3287.0,,1459.0,,,,,
Sweden,,,,,,,,,7369.0,7571.0,5629.0,,4881.0,,,,,
Switzerland,,,,,,,,,742.0,971.0,1076.0,,,,,,,1026.0
Taiwan,,,,,,,22.0,,10.0,,177.0,,,,,,21.0,
Thailand,,,,,,,,,76.0,39.0,1349.0,,,,,,54.0,
Ukraine,,,,,,229.0,,,,,1217.0,144.0,,,,,178.0,
United Kingdom,20629.0,,,,,,,,20314.0,93822.0,,,27772.0,,,,,
United States,,,,,,,166842.0,,473506.0,264396.0,,,332744.0,,,,,
Vietnam,,,,,,67.0,,,,9.0,754.0,,,,,,9.0,
